No,Paper,Authors,Name,Size,Area/Domain,Open-source,Bias Cases/Protected Attributes,Bias types ,Mechanism Type,Base AI Algorithm,Fairness metrics,Model/Method,Dataset Description,Model/Method Description
1,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",ImageNet,,,,,"Data, Representation",,,,,,
1,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ImageNet,,,,,"Data, Representation","In-process, Post-process",Any score-based,"Demographic parity, Equalized odds",Decoupled Classifiers,,Decoupling technique to learn a different classifier for each group and then use transfer learning technique to learn from out-of group samples.
2,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Open Images,,,,,"Data, Representation",,,,,,
3,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",23andMe,,,,Genotype,,,,,,,
4,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",UK Biobank,,Genetic,,,,,,,,,
5,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",UCI Adult,"48,842 income records",Financial,yes,,Representation,,,,,"description 1: Contains information, extracted from the 1994 census data about people with attributes such as age, occupation, education, race, sex, marital status, native country, hours per week, and so on, indicating whether the income of a person exceeds $50K/yr or not. It can be used in fairness-related studies that want to compare gender or race inequalities based on people’s annual incomes, or various other studies.",
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,Pre-process,Any,Disparate impact,Removing Disparate Impact,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Pre-process data to decrease earth moving distance between distributions of both groups. Note that it does not require any ground truth data.
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,Pre-process,Any score based,Demographic parity,"Massaging, Reweighing, Sampling, Suppression","description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.","Massaging: Changing some labels before training (selecting points with lower acceptance rate, trying to replace a small number of samples as opposed to the work of Luong et al.). Reweighing: Assigning different weights to samples. Sampling: Uniform sampling or preferential sampling, using the idea that the closest the samples are to the boundary, the more likely they are to be discriminated. Suppression: Baseline approach to remove correlated features (performed worse)."
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,Pre-process,Any,Conditional statistical parity,Discrimination Prevention with KNN,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.","Changing labels before training such that individuals that are similar except their sensitive attribute will not have different labels, and more individuals from the unprivileged group will get positive labels."
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,Pre-process,Any,Disparate impact,Optimized Pre-Processing for Discrimination Prevention,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Transforming the data to a new mapping that enhances both group fairness and individual fairness while maintaining utility. An optimization formulation that incorporates these three requirements.
