Paper,Authors,Types of bias,,,Synonyms,Definition,Notes,Common metrics
,,Level 1,Level 2,Level 3,,,,
1. A Framework for Understanding Sources of Harm throughout the Machine Learning Life Cycle,"Harini Suresh, John Guttag",Historical,-,-,-,"Historical bias arises even if data is perfectly measured and sampled, if the world as it is or was leads to a model that produces harmful outcomes.",,
,,Representation,-,-,-,"Representation bias occurs when the development sample underrepresents some part of the population, and subsequently fails to generalize well for a subset of the use population.",,
,,Measurement,-,-,-,"Measurement bias occurs when choosing, collecting, or computing features and labels to use in a prediction problem.",,
,,Aggregation,-,-,-,Aggregation bias arises when a one-size-fits-all model is used for data in which there are underlying groups or types of examples that should be considered differently.,,
,,Learning,-,-,-,Learning bias arises when modeling choices amplify performance disparities across different examples in the data.,,
,,Evaluation,-,-,-,Evaluation bias occurs when the benchmark data used for a particular task does not represent the use population.,,
,,Deployment,-,-,-,Deployment bias arises when there is a mismatch between the problem a model is intended to solve and the way in which it is actually used.,,
2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Data to Algorithm,,-,-,,,
,,,Measurement,-,-,"Measurement, or reporting, bias arises from how we choose, utilize, and measure particular features.",,
,,,Omitted Variable,-,-,Omitted variable bias4 occurs when one or more important variables are left out of the model.,,
,,,Representation,-,-,Representation bias arises from how we sample from a population during data collection process.,,
,,,Aggregation,,-,Aggregation bias (or ecological fallacy) arises when false conclusions are drawn about individuals from observing the entire population.,,
,,,,Simpson’s Paradox,-,Simpson’s paradox is a type of aggregation bias that arises in the analysis of heterogeneous data.,,
,,,,Modifiable Areal Unit Problem,-,"Modifiable Areal Unit Problem is a statistical bias in geospatial analysis, which arises when modeling data at different levels of spatial aggregation.",,
,,,Sampling,-,-,"Sampling bias is similar to representation bias, and it arises due to non-random sampling of subgroups.",,
,,,Longitudinal Data Fallacy,,-,"Researchers analyzing temporal data must use longitudinal analysis to track cohorts over time to learn their behavior. Instead, temporal data is often modeled using cross-sectional analysis, which combines diverse cohorts at a single time point. The heterogeneous cohorts can bias cross-sectional analysis, leading to different conclusions than longitudinal analysis.",,
,,,Linking,,-,"Linking bias arises when network attributes obtained from user connections, activities, or interactions differ and misrepresent the true behavior of the users.",,
,,Algorithm to User,,,-,,,
,,,Algorithmic,-,-,Algorithmic bias is when the bias is not present in the input data and is added purely by the algorithm.,,
,,,User Interaction,,-,User Interaction bias is a type of bias that can not only be observant on the Web but also get triggered from two sources—the user interface and through the user itself by imposing his/her self-selected biased behavior and interaction,,
,,,,Presentation,-,Presentation bias is a result of how information is presented,,
,,,,Ranking,-,The idea that top-ranked results are the most relevant and important will result in attraction of more clicks than others.,,
,,,Popularity,-,-,"Items that are more popular tend to be exposed more. However, popularity metrics are subject to manipulation",,
,,,Emergent,-,-,"Emergent bias occurs as a result of use and interaction with real users. This bias arises as a result of change in population, cultural values, or societal knowledge usually some time after the completion of design",,
,,,Evaluation,-,-,Evaluation bias happens during model evaluation. This includes the use of inappropriate and disproportionate benchmarks for evaluation of applications.,,
,,User to Data,,,-,,,
,,,Historical,-,-,Historical bias is the already existing bias and socio-technical issues in the world and can seep into from the data generation process even given a perfect sampling and feature selection,,
,,,Population,-,-,"Population bias arises when statistics, demographics, representatives, and user characteristics are different in the user population of the platform from the original target population.",,
,,,Self-selection,-,-,Self-selection bias4 is a subtype of the selection or sampling bias in which subjects of the research select themselves.,,
,,,Social,-,-,Social bias happens when others’ actions affect our judgment.,,
,,,Behavioral,-,-,"Behavioral bias arises from different user behavior across platforms, contexts, or different datasets.",,
,,,Temporal,-,-,Temporal bias arises from differences in populations and behaviors over time.,,
,,,Content Production,-,-,"Content Production bias arises from structural, lexical, semantic, and syntactic differences in the contents generated by users.",,
3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Biases already included in the datasets used for learning,-,-,-,"Biases already included in the datasets used for learning are based on biased device measurements, historically biased human decisions, erroneous reports, or other reasons.",,
,,Biases caused by missing data,-,-,-,Biases caused by missing data result in datasets that are not representative of the target population.,,
,,Biases that stem from algorithmic objectives,-,-,-,Biases that stem from algorithmic objectives aim at minimizing overall aggregated prediction errors and therefore benefit majority groups over minorities.,,
