No,Paper,Authors,Name,Open-source,Data types ,Metric types,ML task,Mechanism Type,# of sensitive attributes,Description,Usage,Developer,Maturity
1,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Aequitas,yes,tabular,group,classification,,,"description 1: A toolkit that lets users to test models with regards to several bias and fairness metrics for different population subgroups. Aequitas produces reports from the obtained data that helps data scientists, machine learning researchers, and policymakers to make conscious decisions and avoid harm and damage toward certain populations.","measures bias, audit tool",Carnegie Mellon University,
1,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Aequitas,yes,tabular,group,classification,,,"description 2: An audit toolkit to test modules for other kinds of bias present in population subgroups. In this toolkit, bias detection is done before model selection so that if the data is biased, it can be corrected before training. This toolkit will help data scientists and policymakers avoid harm by making calculated decisions about the AI models.","measures bias, audit tool",Carnegie Mellon University,
1,7. A Review of Bias and Fairness in Artificial Intelligence,"Rubén González-Sendino, Emilio Serrano, Javier Bajo1, Paulo Novais",Aequitas,yes,tabular,group,classification,,,"description 3: Aequitas runs a full report on biases. This report is expected to be used by developers, analysts, and policymakers.","measures bias, audit tool",Carnegie Mellon University,
1,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",Aequitas,yes,tabular,group,classification,,,"description 4: This toolkit generates reports from the obtained data to test if an ML model is fair for diferent subgroups. Aequitas can help people from various professions, such as data scientists, ML researchers, and policymakers.","measures bias, audit tool",Carnegie Mellon University,
1,"10. FairerML: An Extensible Platform for Analysing, Visualising, and Mitigating Biases in Machine Learning","Bo Yuan, Shenhao Gui, Qingquan Zhang, and Ziqi Wang",Aequitas,yes,tabular,group,classification,,,description 5: An open-source bias audit toolkit. It mainly focuses on auditing bias in ML data.,"measures bias, audit tool",Carnegie Mellon University,
2,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",AI Fairness 360 (AIF360),yes,tabular,"group, individual","classification, regression","Pre-process, In-process, Post-process",multiple,description 1: A toolkit developed by IBM to help moving fairness research algorithms into an industrial setting and to create a benchmark for fairness algorithms to get evaluated and an environment for fairness researchers to share their ideas.,measures + mitigates bias,IBM,
2,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",AI Fairness 360 (AIF360),yes,tabular,"group, individual","classification, regression","Pre-process, In-process, Post-process",multiple,"description 2: This toolkit is designed to bring together researchers designing the algorithms and data scientists using them in the field. It contains bias detection, mitigation, and explanation algorithms that are ready to use interactively. This toolkit is very helpful, as it provides a platform to experiment and compare different bias detection and mitigation techniques.",measures + mitigates bias,IBM,
2,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",AI Fairness 360 (AIF360),yes,tabular,"group, individual","classification, regression","Pre-process, In-process, Post-process",multiple,"description 3: AI Fairness 360 or AIF360 is an industrial Python toolkit developed by IBM mainly for evaluating fairness algorithms and providing a common framework so that scholars can share their ideas. A complete collection of fairness metrics for datasets and models, justifcations for these metrics, and dataset’s and model’s bias mitigation strategies are included in the package along with an interactive Web experience.",,IBM,
2,"10. FairerML: An Extensible Platform for Analysing, Visualising, and Mitigating Biases in Machine Learning","Bo Yuan, Shenhao Gui, Qingquan Zhang, and Ziqi Wang",AI Fairness 360 (AIF360),yes,tabular,"group, individual","classification, regression","Pre-process, In-process, Post-process",multiple,"description 4: A comprehensive extensible open-source fairness library. It integrates the functions of fairness analysis, bias mitigation, and bias metric explanations together.",,IBM,
3,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",COMPAS,,,,,,,A recidivism risk prediction tool (IBM) where prior arrests and friend/family arrests were used as proxy variables to measure level of “riskiness” or “crime”—which on its own can be viewed as mismeasured proxies.,measures bias,,
4,7. A Review of Bias and Fairness in Artificial Intelligence,"Rubén González-Sendino, Emilio Serrano, Javier Bajo1, Paulo Novais",FairLearn,,tabular,group,"classification, regression","Pre-process, In-process, Post-process", multiple,,measures + mitigates bias,,
4,"10. FairerML: An Extensible Platform for Analysing, Visualising, and Mitigating Biases in Machine Learning","Bo Yuan, Shenhao Gui, Qingquan Zhang, and Ziqi Wang",FairLearn,,tabular,group,"classification, regression","Pre-process, In-process, Post-process", multiple,A Python package for developers to analyse the fairness of the system and to provide algorithms for mitigating unfairness,mitigates unfairness,Microsoft,
5,7. A Review of Bias and Fairness in Artificial Intelligence,"Rubén González-Sendino, Emilio Serrano, Javier Bajo1, Paulo Novais",WIT,,,,,,,WIT provides a graphical interface in which the behavior of an algorithm can be tested visually. The tool integrates the fairness indicator developed in TensorFlow.,"measures bias, audit tool",,
6,7. A Review of Bias and Fairness in Artificial Intelligence,"Rubén González-Sendino, Emilio Serrano, Javier Bajo1, Paulo Novais",Audit AI,,tabular,group,"classification, regression",,,,,,
6,"10. FairerML: An Extensible Platform for Analysing, Visualising, and Mitigating Biases in Machine Learning","Bo Yuan, Shenhao Gui, Qingquan Zhang, and Ziqi Wang",Audit AI,,tabular,group,"classification, regression",,,A toolkit for detecting group unfairness with multiple statistical significance test.,detects group unfairness,Pymetrics team,
7,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Tensorflow Responsible AI,,,,,,,,,,
8,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",disparate impact remover,,,,,,,"It modifes the data distribution to ensure equal group representation in the training data. The method achieves this by adjusting the weights of each training example based on the protected attribute’s distribution, thus equalizing the acceptance rate across group.",ensures protected group fairness,,
